2019-05-09 09:20:06,729 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 09:21:44,218 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 09:35:52,167 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 09:35:55,713 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 09:36:42,802 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了查看通知及余额
2019-05-09 09:37:37,642 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 09:37:44,025 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 09:37:47,684 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 09:38:00,716 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了查看通知及余额
2019-05-09 09:38:03,370 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 09:38:07,835 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 09:38:12,381 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 09:38:15,448 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 10:06:08,271 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 10:06:12,677 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 10:06:25,479 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 10:48:52,868 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 10:48:54,623 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 10:49:14,495 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了查看通知及余额
2019-05-09 10:49:16,144 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 10:49:22,168 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 10:49:24,138 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
2019-05-09 10:49:26,588 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 关闭程序窗口
2019-05-09 11:01:58,892 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 打开程序窗口
2019-05-09 11:02:00,162 INFO [AWT-EventQueue-0] com.jnu.model.MyLog.write(9) | 点击了修改用户信息
